Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
super-spine,DCI-1,Ethernet1/1,172.16.30.1/31,l3leaf,Site1-BGW1,Ethernet5/1,172.16.30.0/31
super-spine,DCI-1,Ethernet2/1,172.16.30.7/31,l3leaf,Site1-BGW2,Ethernet5/1,172.16.30.6/31
super-spine,DCI-1,Ethernet3/1,172.16.30.13/31,l3leaf,Site1-BGW3,Ethernet5/1,172.16.30.12/31
super-spine,DCI-1,Ethernet4/1,172.16.30.19/31,l3leaf,Site2-BGW1,Ethernet5/1,172.16.30.18/31
super-spine,DCI-1,Ethernet5/1,172.16.30.25/31,l3leaf,Site2-BGW2,Ethernet5/1,172.16.30.24/31
super-spine,DCI-1,Ethernet6/1,172.16.30.31/31,l3leaf,Site2-BGW3,Ethernet5/1,172.16.30.30/31
super-spine,DCI-2,Ethernet1/1,172.16.30.3/31,l3leaf,Site1-BGW1,Ethernet6/1,172.16.30.2/31
super-spine,DCI-2,Ethernet2/1,172.16.30.9/31,l3leaf,Site1-BGW2,Ethernet6/1,172.16.30.8/31
super-spine,DCI-2,Ethernet3/1,172.16.30.15/31,l3leaf,Site1-BGW3,Ethernet6/1,172.16.30.14/31
super-spine,DCI-2,Ethernet4/1,172.16.30.21/31,l3leaf,Site2-BGW1,Ethernet6/1,172.16.30.20/31
super-spine,DCI-2,Ethernet5/1,172.16.30.27/31,l3leaf,Site2-BGW2,Ethernet6/1,172.16.30.26/31
super-spine,DCI-2,Ethernet6/1,172.16.30.33/31,l3leaf,Site2-BGW3,Ethernet6/1,172.16.30.32/31
super-spine,DCI-3,Ethernet1/1,172.16.30.5/31,l3leaf,Site1-BGW1,Ethernet7/1,172.16.30.4/31
super-spine,DCI-3,Ethernet2/1,172.16.30.11/31,l3leaf,Site1-BGW2,Ethernet7/1,172.16.30.10/31
super-spine,DCI-3,Ethernet3/1,172.16.30.17/31,l3leaf,Site1-BGW3,Ethernet7/1,172.16.30.16/31
super-spine,DCI-3,Ethernet4/1,172.16.30.23/31,l3leaf,Site2-BGW1,Ethernet7/1,172.16.30.22/31
super-spine,DCI-3,Ethernet5/1,172.16.30.29/31,l3leaf,Site2-BGW2,Ethernet7/1,172.16.30.28/31
super-spine,DCI-3,Ethernet6/1,172.16.30.35/31,l3leaf,Site2-BGW3,Ethernet7/1,172.16.30.34/31
l3leaf,Site1-BGW1,Ethernet51/1,172.30.255.85/31,spine,Site1-S1,Ethernet5/1,172.30.255.84/31
l3leaf,Site1-BGW1,Ethernet52/1,172.30.255.87/31,spine,Site1-S2,Ethernet5/1,172.30.255.86/31
l3leaf,Site1-BGW1,Ethernet53/1,172.30.255.89/31,spine,Site1-S3,Ethernet5/1,172.30.255.88/31
l3leaf,Site1-BGW2,Ethernet51/1,172.30.255.91/31,spine,Site1-S1,Ethernet6/1,172.30.255.90/31
