Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
super-spine,DCI-1,Ethernet1/1,l3leaf,Site1-BGW1,Ethernet5/1,True
super-spine,DCI-1,Ethernet2/1,l3leaf,Site1-BGW2,Ethernet5/1,True
super-spine,DCI-1,Ethernet3/1,l3leaf,Site1-BGW3,Ethernet5/1,True
super-spine,DCI-1,Ethernet4/1,l3leaf,Site2-BGW1,Ethernet5/1,True
super-spine,DCI-1,Ethernet5/1,l3leaf,Site2-BGW2,Ethernet5/1,True
super-spine,DCI-1,Ethernet6/1,l3leaf,Site2-BGW3,Ethernet5/1,True
super-spine,DCI-2,Ethernet1/1,l3leaf,Site1-BGW1,Ethernet6/1,True
super-spine,DCI-2,Ethernet2/1,l3leaf,Site1-BGW2,Ethernet6/1,True
super-spine,DCI-2,Ethernet3/1,l3leaf,Site1-BGW3,Ethernet6/1,True
super-spine,DCI-2,Ethernet4/1,l3leaf,Site2-BGW1,Ethernet6/1,True
super-spine,DCI-2,Ethernet5/1,l3leaf,Site2-BGW2,Ethernet6/1,True
super-spine,DCI-2,Ethernet6/1,l3leaf,Site2-BGW3,Ethernet6/1,True
super-spine,DCI-3,Ethernet1/1,l3leaf,Site1-BGW1,Ethernet7/1,True
super-spine,DCI-3,Ethernet2/1,l3leaf,Site1-BGW2,Ethernet7/1,True
super-spine,DCI-3,Ethernet3/1,l3leaf,Site1-BGW3,Ethernet7/1,True
super-spine,DCI-3,Ethernet4/1,l3leaf,Site2-BGW1,Ethernet7/1,True
super-spine,DCI-3,Ethernet5/1,l3leaf,Site2-BGW2,Ethernet7/1,True
super-spine,DCI-3,Ethernet6/1,l3leaf,Site2-BGW3,Ethernet7/1,True
l3leaf,Site1-BGW1,Ethernet5/1,super-spine,DCI-1,Ethernet1/1,True
l3leaf,Site1-BGW1,Ethernet6/1,super-spine,DCI-2,Ethernet1/1,True
l3leaf,Site1-BGW1,Ethernet7/1,super-spine,DCI-3,Ethernet1/1,True
l3leaf,Site1-BGW1,Ethernet51/1,spine,Site1-S1,Ethernet5/1,True
l3leaf,Site1-BGW1,Ethernet52/1,spine,Site1-S2,Ethernet5/1,True
l3leaf,Site1-BGW1,Ethernet53/1,spine,Site1-S3,Ethernet5/1,True
l3leaf,Site1-BGW2,Ethernet5/1,super-spine,DCI-1,Ethernet2/1,True
l3leaf,Site1-BGW2,Ethernet6/1,super-spine,DCI-2,Ethernet2/1,True
l3leaf,Site1-BGW2,Ethernet7/1,super-spine,DCI-3,Ethernet2/1,True
l3leaf,Site1-BGW2,Ethernet51/1,spine,Site1-S1,Ethernet6/1,True
l3leaf,Site1-BGW2,Ethernet52/1,spine,Site1-S2,Ethernet6/1,True
l3leaf,Site1-BGW2,Ethernet53/1,spine,Site1-S3,Ethernet6/1,True
l3leaf,Site1-BGW3,Ethernet5/1,super-spine,DCI-1,Ethernet3/1,True
