id,dut,categories,test,description,inputs,result,messages
1,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW1 (IP: 172.16.30.0),PASS,
2,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW2 (IP: 172.16.30.6),PASS,
3,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW3 (IP: 172.16.30.12),PASS,
4,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW1 (IP: 172.16.30.18),PASS,
5,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW2 (IP: 172.16.30.24),PASS,
6,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW3 (IP: 172.16.30.30),PASS,
7,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1/1 - Remote: Site1-BGW1 Ethernet5/1,PASS,
8,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2/1 - Remote: Site1-BGW2 Ethernet5/1,PASS,
9,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3/1 - Remote: Site1-BGW3 Ethernet5/1,PASS,
10,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4/1 - Remote: Site2-BGW1 Ethernet5/1,PASS,
11,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5/1 - Remote: Site2-BGW2 Ethernet5/1,PASS,
12,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6/1 - Remote: Site2-BGW3 Ethernet5/1,PASS,
13,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1/1 (IP: 172.16.30.1) - Destination: Site1-BGW1 Ethernet5/1 (IP: 172.16.30.0),PASS,
14,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2/1 (IP: 172.16.30.7) - Destination: Site1-BGW2 Ethernet5/1 (IP: 172.16.30.6),PASS,
15,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3/1 (IP: 172.16.30.13) - Destination: Site1-BGW3 Ethernet5/1 (IP: 172.16.30.12),PASS,
16,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet4/1 (IP: 172.16.30.19) - Destination: Site2-BGW1 Ethernet5/1 (IP: 172.16.30.18),PASS,
17,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5/1 (IP: 172.16.30.25) - Destination: Site2-BGW2 Ethernet5/1 (IP: 172.16.30.24),PASS,
18,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6/1 (IP: 172.16.30.31) - Destination: Site2-BGW3 Ethernet5/1 (IP: 172.16.30.30),PASS,
19,DCI-1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
20,DCI-1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
21,DCI-1,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
22,DCI-1,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
23,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1/1 - P2P_Site1-BGW1_Ethernet5/1 = 'up',PASS,
24,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2/1 - P2P_Site1-BGW2_Ethernet5/1 = 'up',PASS,
25,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3/1 - P2P_Site1-BGW3_Ethernet5/1 = 'up',PASS,
26,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4/1 - P2P_Site2-BGW1_Ethernet5/1 = 'up',PASS,
27,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5/1 - P2P_Site2-BGW2_Ethernet5/1 = 'up',PASS,
28,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6/1 - P2P_Site2-BGW3_Ethernet5/1 = 'up',PASS,
29,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
30,DCI-1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
31,DCI-1,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,The device is not synchronized with the configured NTP server(s): 'unsynchronised'
32,DCI-1,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
33,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW1 (IP: 172.16.30.2),PASS,
34,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW2 (IP: 172.16.30.8),PASS,
35,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW3 (IP: 172.16.30.14),PASS,
36,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW1 (IP: 172.16.30.20),PASS,
37,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW2 (IP: 172.16.30.26),PASS,
38,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW3 (IP: 172.16.30.32),PASS,
39,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1/1 - Remote: Site1-BGW1 Ethernet6/1,PASS,
40,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2/1 - Remote: Site1-BGW2 Ethernet6/1,PASS,
41,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3/1 - Remote: Site1-BGW3 Ethernet6/1,PASS,
42,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4/1 - Remote: Site2-BGW1 Ethernet6/1,PASS,
43,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5/1 - Remote: Site2-BGW2 Ethernet6/1,PASS,
44,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6/1 - Remote: Site2-BGW3 Ethernet6/1,PASS,
45,DCI-2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1/1 (IP: 172.16.30.3) - Destination: Site1-BGW1 Ethernet6/1 (IP: 172.16.30.2),PASS,
46,DCI-2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2/1 (IP: 172.16.30.9) - Destination: Site1-BGW2 Ethernet6/1 (IP: 172.16.30.8),PASS,
47,DCI-2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3/1 (IP: 172.16.30.15) - Destination: Site1-BGW3 Ethernet6/1 (IP: 172.16.30.14),PASS,
